Ref,PosX,PosY,Rot
BUCK,138.4905,-120.9475,0
C1,139,-109.4,180
C2,137.32,-98.45,0
C3,146.275,-108.45,-90
C4,139.725,-97.85,0
C5,146.85,-99.45,0
C6,137.45,-99.5,0
C7,144.88,-109.45,0
C8,148.3,-100.68,-90
C9,136.205,-104.15,180
C10,142.605,-113.9,0
C11,140.85,-113.9,0
C12,144.5,-112.6,90
C13,154,-115.03,90
C14,154,-111.02,90
C15,154,-113.12,90
C16,135.2,-103,0
C17,136.15,-105.5,90
C18,133.4,-98.25,180
C19,135.1,-105.5,90
C20,134.4755,-122.28,-90
C21,133.3,-122.25,-90
C22,134.2,-118.9,0
C23,145.25,-123.5,0
C24,143.37,-123.5,180
C25,146.5,-121,90
C26,144.2,-122.05,180
D1,150.45,-98.2,0
D2,158,-117.8,0
D3,148.7,-116.75,0
D4,147.2,-112.1,180
D5,147.5,-126.7,0
D6,137,-125.75,0
D8,150.25,-114.0125,90
FB1,133.5,-106.5625,90
J1,158.4,-103.85,90
J2,125.4,-115.4,-90
J3,145.11,-93.75,90
J4,127,-100.13,0
J5,133.52,-93.75,90
L1,143.85,-125.1,0
LDO,158.4,-112.9,0
MT1,141.9125,-111.7875,0
R1,152.575,-116.75,180
R2,150.35,-100.5,180
R3,151.65,-106.1,180
R4,132.55,-110.575,90
R5,150.25,-110.6125,90
R6,152.25,-110.6,-90
R7,152.25,-114.0625,-90
R8,134.5,-110.575,-90
R9,147.175,-110.25,180
R10,133.4755,-120.4,180
R11,144.2,-118.35,0
R12,144.2,-120.15,0
R13,147.3,-124.85,0
STM32,142.35,-103.65,0
SW1,152.1,-123,90
Y1,134.2,-100.7,180
