Designator,Mid X,Mid Y,Rotation,Layer
BUCK,138.4905,-120.9475,270,top
C1,136.9,-109.375,180,top
C10,141.345,-113.1625,0,top
C11,138.775,-113.1625,0,top
C12,142.85,-111.625,270,top
C13,154,-115.03,90,top
C14,154,-110.845,90,top
C15,154,-112.945,90,top
C16,132.45,-101.275,0,top
C17,133.075,-104.245,90,top
C18,130.695,-96.325,180,top
C19,131.85,-104.245,90,top
C2,134.27,-94.95,0,top
C21,134.5,-122.22,270,top
C22,134.05,-118.9,0,top
C23,145.38,-123.125,0,top
C24,143,-123.125,180,top
C25,146.6,-120.75,90,top
C26,144.2,-121.5,180,top
C3,145.6,-108.425,270,top
C4,136.69,-94.525,0,top
C5,146.995,-96.75,0,top
C6,134.27,-96.275,0,top
C7,143.825,-109.425,0,top
C8,148.25,-98.325,270,top
C9,132.625,-102.675,180,top
D1,151.025,-95.725,0,top
D2,158,-117.8,0,top
D3,148.1875,-116.925,0,top
D4,147.2,-112.925,180,top
D5,147.5,-126.7,0,top
D6,137,-125.75,0,top
D8,150.25,-114.0425,90,top
FB1,130.25,-105.0375,90,top
J1,158.4,-103.85,90,top
J2,121.575,-115.075,270,top
J3,148.92,-89.7,90,top
J4,122.95,-102.265,0,top
J5,136.63,-89.7,90,top
L1,143.85,-125.1,0,top
LDO,158.4,-112.9,180,top
MT1,140.2875,-111.025,0,top
R1,151.975,-116.925,180,top
R10,133.4755,-120.4,180,top
R11,144.2,-118.125,0,top
R12,144.2,-119.85,0,top
R13,147.475,-124.85,0,top
R2,150.725,-98.35,180,top
R3,151.65,-106.1,180,top
R4,129.85,-111.65,90,top
R5,150.25,-110.6125,90,top
R6,152.25,-110.6125,270,top
R7,152.25,-114.0625,270,top
R8,132.05,-111.65,270,top
R9,147.22,-111.075,180,top
STM32,140.6,-101.975,270,top
SW1,152.1,-123,90,top
Y1,131.375,-98.825,180,top
