Designator,Footprint,Quantity,Value,LCSC Part #
BUCK,MSOP-16-1EP_3x4.039mm_P0.5mm_EP1.651x2.845mm_ThermalVias,1,LT8610,C462619
"C1, C12, C13, C17, C2, C23, C24, C3, C4, C5, C9",201,11,100n,C49062
"C10, C19, C22",201,3,10n,C76941
"C11, C7, C8",201,3,2.2u,C318539
"C14, C15, C6",402,3,10u,C315248
"C16, C18, C25",201,3,10p,C43535
C21,402,1,4.7u,C6119795
C26,603,1,47u,C178330
"D1, D2",D_SOD-123,2,D_Schottky,C5345968
"D3, D4, D5",603,3,LED,C19273151
D6,D_SMA,1,D_TVS,C49207092
D8,603,1,D,C30584800
FB1,603,1,FerriteBead,C107335
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,C165948
J2,JST_SM08B-SRSS-TB_LF__SN_,1,Conn_01x08_Socket,C265120
L1,805,1,10u,C48944993
LDO,SOT-89-3,1,LT1117-ADJ,C3014296
MT1,XDCR_ICM-42670-P,1,ICM-42670-P,C3288646
"R1, R4",603,2,10k,C98220
R10,603,1,110k,C2906984
R11,603,1,243k,C137764
R12,603,1,1Meg,C2907115
"R13, R7, R9",603,3,300,C2907148
"R2, R3",603,2,5.1k,C2907044
R5,603,1,200,C25804
R6,603,1,121,C2933134
R8,603,1,1k,C2907113
STM32,LQFP-64_7x7mm_P0.4mm,1,STM32F405RGT6,C15742
SW1,SW_SPST_TL3305A,1,SW_Push,C2886902
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C2916927
