Designator,Mid X,Mid Y,Rotation,Layer
BUCK,138.4905,-120.9475,270.0,top
C1,139.0,-109.4,180.0,top
C10,142.605,-113.9,0.0,top
C11,140.85,-113.9,0.0,top
C12,144.5,-112.6,90.0,top
C13,154.0,-115.03,90.0,top
C14,154.0,-111.02,90.0,top
C15,154.0,-113.12,90.0,top
C16,135.2,-103.0,0.0,top
C17,136.15,-105.5,90.0,top
C18,133.4,-98.25,180.0,top
C19,135.1,-105.5,90.0,top
C2,137.32,-98.45,0.0,top
C21,134.5,-122.22,270.0,top
C22,134.2,-118.9,0.0,top
C23,145.25,-123.5,0.0,top
C24,143.37,-123.5,180.0,top
C25,146.5,-121.0,90.0,top
C26,144.2,-122.05,180.0,top
C3,146.275,-108.45,270.0,top
C4,139.725,-97.85,0.0,top
C5,146.85,-99.45,0.0,top
C6,137.45,-99.5,0.0,top
C7,144.88,-109.45,0.0,top
C8,148.3,-100.68,270.0,top
C9,136.205,-104.15,180.0,top
D1,150.45,-98.2,0.0,top
D2,158.0,-117.8,0.0,top
D3,148.7,-116.75,0.0,top
D4,147.2,-112.1,180.0,top
D5,147.5,-126.7,0.0,top
D6,137.0,-125.75,0.0,top
D8,150.25,-114.0125,90.0,top
FB1,133.5,-106.5625,90.0,top
J1,158.4,-103.85,90.0,top
J2,125.4,-115.4,270.0,top
J3,148.92,-93.75,90.0,top
J4,127.0,-103.94,0.0,top
J5,137.33,-93.75,90.0,top
L1,143.85,-125.1,0.0,top
LDO,158.4,-112.9,180.0,top
MT1,141.9125,-111.7875,0.0,top
R1,152.575,-116.75,180.0,top
R10,133.4755,-120.4,180.0,top
R11,144.2,-118.35,0.0,top
R12,144.2,-120.15,0.0,top
R13,147.3,-124.85,0.0,top
R2,150.35,-100.5,180.0,top
R3,151.65,-106.1,180.0,top
R4,132.55,-110.575,90.0,top
R5,150.25,-110.6125,90.0,top
R6,152.25,-110.6,270.0,top
R7,152.25,-114.0625,270.0,top
R8,134.5,-110.575,270.0,top
R9,147.175,-110.25,180.0,top
STM32,142.35,-103.65,270.0,top
SW1,152.1,-123.0,90.0,top
Y1,134.2,-100.7,180.0,top
